Detector, Descriptor, Matcher, Selector, Number of Keypoints, Size of Neighborhood, Number of Matched Keypoints, Time (ms Keypoints Detection), Time (ms Descriptor Extraction), Time (ms Total)
SHITOMASI, BRISK, MAT_BF, SEL_NN, 118, 4, 125, 18.6654, 0.391283, 19.0567
SHITOMASI, BRISK, MAT_BF, SEL_NN, 123, 4, 118, 18.3571, 0.291175, 18.6482
SHITOMASI, BRISK, MAT_BF, SEL_NN, 120, 4, 123, 17.5717, 0.345388, 17.9171
SHITOMASI, BRISK, MAT_BF, SEL_NN, 120, 4, 120, 17.0215, 0.322487, 17.344
SHITOMASI, BRISK, MAT_BF, SEL_NN, 113, 4, 120, 18.1876, 0.312914, 18.5006
SHITOMASI, BRISK, MAT_BF, SEL_NN, 114, 4, 113, 18.4096, 0.300065, 18.7096
SHITOMASI, BRISK, MAT_BF, SEL_NN, 123, 4, 114, 17.2487, 0.305798, 17.5545
SHITOMASI, BRISK, MAT_BF, SEL_NN, 111, 4, 123, 19.1837, 0.283111, 19.4668
SHITOMASI, BRISK, MAT_BF, SEL_NN, 112, 4, 111, 18.4154, 0.393048, 18.8085
SHITOMASI, BRISK, MAT_BF, SEL_KNN, 118, 4, 95, 17.5818, 0.447228, 18.029
SHITOMASI, BRISK, MAT_BF, SEL_KNN, 123, 4, 88, 19.1645, 0.40515, 19.5696
SHITOMASI, BRISK, MAT_BF, SEL_KNN, 120, 4, 80, 17.7717, 0.365476, 18.1372
SHITOMASI, BRISK, MAT_BF, SEL_KNN, 120, 4, 90, 16.9897, 0.427162, 17.4169
SHITOMASI, BRISK, MAT_BF, SEL_KNN, 113, 4, 82, 17.929, 0.357203, 18.2862
SHITOMASI, BRISK, MAT_BF, SEL_KNN, 114, 4, 79, 17.7332, 0.454656, 18.1879
SHITOMASI, BRISK, MAT_BF, SEL_KNN, 123, 4, 85, 17.6115, 0.384771, 17.9963
SHITOMASI, BRISK, MAT_BF, SEL_KNN, 111, 4, 86, 17.8498, 0.439624, 18.2895
SHITOMASI, BRISK, MAT_BF, SEL_KNN, 112, 4, 82, 17.5748, 0.369101, 17.9439
SHITOMASI, BRISK, MAT_FLANN, SEL_NN, 118, 4, 125, 18.6205, 1.88577, 20.5063
SHITOMASI, BRISK, MAT_FLANN, SEL_NN, 123, 4, 118, 17.8405, 1.8582, 19.6987
SHITOMASI, BRISK, MAT_FLANN, SEL_NN, 120, 4, 123, 17.8395, 1.65814, 19.4977
